name,station,time,id,nedbor
Oslo - Blindern,SN18700,07.12.2010,340,0
Oslo - Blindern,SN18700,08.12.2010,341,0
Oslo - Blindern,SN18700,09.12.2010,342,0
Oslo - Blindern,SN18700,10.12.2010,343,0
Oslo - Blindern,SN18700,11.12.2010,344,2
Oslo - Blindern,SN18700,12.12.2010,345,0
Oslo - Blindern,SN18700,13.12.2010,346,0
Oslo - Blindern,SN18700,14.12.2010,347,0
Oslo - Blindern,SN18700,15.12.2010,348,"0,2"
Oslo - Blindern,SN18700,16.12.2010,349,"0,8"
Oslo - Blindern,SN18700,17.12.2010,350,"0,1"
Oslo - Blindern,SN18700,18.12.2010,351,3
Oslo - Blindern,SN18700,19.12.2010,352,"0,5"
Oslo - Blindern,SN18700,20.12.2010,353,"2,2"
Oslo - Blindern,SN18700,21.12.2010,354,"0,1"
Oslo - Blindern,SN18700,22.12.2010,355,"0,3"
Oslo - Blindern,SN18700,23.12.2010,356,"0,5"
Oslo - Blindern,SN18700,24.12.2010,357,0
Oslo - Blindern,SN18700,25.12.2010,358,0
Oslo - Blindern,SN18700,26.12.2010,359,0
Oslo - Blindern,SN18700,27.12.2010,360,0
Oslo - Blindern,SN18700,28.12.2010,361,"0,2"
Oslo - Blindern,SN18700,29.12.2010,362,0
Oslo - Blindern,SN18700,30.12.2010,363,0
Oslo - Blindern,SN18700,31.12.2010,364,0
Oslo - Blindern,SN18700,01.01.2011,365,0
Oslo - Blindern,SN18700,02.01.2011,366,0
Oslo - Blindern,SN18700,03.01.2011,367,0
Oslo - Blindern,SN18700,04.01.2011,368,"1,4"
Oslo - Blindern,SN18700,05.01.2011,369,"3,2"
Oslo - Blindern,SN18700,06.01.2011,370,"6,8"
Oslo - Blindern,SN18700,07.01.2011,371,"5,1"
Oslo - Blindern,SN18700,08.01.2011,372,0
Oslo - Blindern,SN18700,09.01.2011,373,"8,8"
Oslo - Blindern,SN18700,10.01.2011,374,"0,1"
Oslo - Blindern,SN18700,11.01.2011,375,"2,7"
Oslo - Blindern,SN18700,12.01.2011,376,5
Oslo - Blindern,SN18700,13.01.2011,377,0
Oslo - Blindern,SN18700,14.01.2011,378,"1,1"
Oslo - Blindern,SN18700,15.01.2011,379,"3,8"
Oslo - Blindern,SN18700,16.01.2011,380,"8,7"
Oslo - Blindern,SN18700,17.01.2011,381,"0,1"
Oslo - Blindern,SN18700,18.01.2011,382,0
Oslo - Blindern,SN18700,19.01.2011,383,"0,1"
Oslo - Blindern,SN18700,20.01.2011,384,0
Oslo - Blindern,SN18700,21.01.2011,385,0
Oslo - Blindern,SN18700,22.01.2011,386,0
Oslo - Blindern,SN18700,23.01.2011,387,0
Oslo - Blindern,SN18700,24.01.2011,388,0
Oslo - Blindern,SN18700,25.01.2011,389,"0,3"
Oslo - Blindern,SN18700,26.01.2011,390,0
Oslo - Blindern,SN18700,27.01.2011,391,0
Oslo - Blindern,SN18700,28.01.2011,392,0
Oslo - Blindern,SN18700,29.01.2011,393,0
Oslo - Blindern,SN18700,30.01.2011,394,0
Oslo - Blindern,SN18700,31.01.2011,395,0
Oslo - Blindern,SN18700,01.02.2011,396,0
Oslo - Blindern,SN18700,02.02.2011,397,0
Oslo - Blindern,SN18700,03.02.2011,398,"3,9"
Oslo - Blindern,SN18700,04.02.2011,399,"3,8"
Oslo - Blindern,SN18700,05.02.2011,400,0
Oslo - Blindern,SN18700,06.02.2011,401,0
Oslo - Blindern,SN18700,07.02.2011,402,0
Oslo - Blindern,SN18700,08.02.2011,403,"8,6"
Oslo - Blindern,SN18700,09.02.2011,404,0
Oslo - Blindern,SN18700,10.02.2011,405,3
Oslo - Blindern,SN18700,11.02.2011,406,"15,2"
Oslo - Blindern,SN18700,12.02.2011,407,"0,7"
Oslo - Blindern,SN18700,13.02.2011,408,0
Oslo - Blindern,SN18700,14.02.2011,409,0
Oslo - Blindern,SN18700,15.02.2011,410,"0,2"
Oslo - Blindern,SN18700,16.02.2011,411,"0,1"
Oslo - Blindern,SN18700,17.02.2011,412,"1,9"
Oslo - Blindern,SN18700,18.02.2011,413,"1,4"
Oslo - Blindern,SN18700,19.02.2011,414,0
Oslo - Blindern,SN18700,20.02.2011,415,0
Oslo - Blindern,SN18700,21.02.2011,416,0
Oslo - Blindern,SN18700,22.02.2011,417,"0,2"
Oslo - Blindern,SN18700,23.02.2011,418,"0,4"
Oslo - Blindern,SN18700,24.02.2011,419,"0,6"
Oslo - Blindern,SN18700,25.02.2011,420,"3,4"
Oslo - Blindern,SN18700,26.02.2011,421,"1,2"
Oslo - Blindern,SN18700,27.02.2011,422,"8,5"
Oslo - Blindern,SN18700,28.02.2011,423,"0,2"
Oslo - Blindern,SN18700,01.03.2011,424,0
Oslo - Blindern,SN18700,02.03.2011,425,0
Oslo - Blindern,SN18700,03.03.2011,426,0
Oslo - Blindern,SN18700,04.03.2011,427,"0,1"
Oslo - Blindern,SN18700,05.03.2011,428,0
Oslo - Blindern,SN18700,06.03.2011,429,0
Oslo - Blindern,SN18700,07.03.2011,430,0
Oslo - Blindern,SN18700,08.03.2011,431,0
Oslo - Blindern,SN18700,09.03.2011,432,5
Oslo - Blindern,SN18700,10.03.2011,433,"3,6"
Oslo - Blindern,SN18700,11.03.2011,434,3
Oslo - Blindern,SN18700,12.03.2011,435,0
Oslo - Blindern,SN18700,13.03.2011,436,0
Oslo - Blindern,SN18700,14.03.2011,437,"1,7"
Oslo - Blindern,SN18700,15.03.2011,438,0
Oslo - Blindern,SN18700,16.03.2011,439,0
Oslo - Blindern,SN18700,17.03.2011,440,0
Oslo - Blindern,SN18700,18.03.2011,441,0
Oslo - Blindern,SN18700,19.03.2011,442,"1,7"
Oslo - Blindern,SN18700,20.03.2011,443,0
Oslo - Blindern,SN18700,21.03.2011,444,0
Oslo - Blindern,SN18700,22.03.2011,445,0
Oslo - Blindern,SN18700,23.03.2011,446,0
Oslo - Blindern,SN18700,24.03.2011,447,0
Oslo - Blindern,SN18700,25.03.2011,448,0
Oslo - Blindern,SN18700,26.03.2011,449,0
Oslo - Blindern,SN18700,27.03.2011,450,0
Oslo - Blindern,SN18700,28.03.2011,451,0
Oslo - Blindern,SN18700,29.03.2011,452,"0,7"
Oslo - Blindern,SN18700,30.03.2011,453,0
